Ref,Val,Package,PosX,PosY,Rot,Side
"C1","104","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.044000,-118.491000,0.000000,top
"C2","104","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.044000,-101.981000,0.000000,top
"C3","10u/16V","CP_Elec_4x5.4",110.967600,-80.192800,90.000000,top
"C4","104","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.942000,-55.859600,-90.000000,top
"C5","104","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.318400,-57.450400,180.000000,top
"C6","47u/16V","CP_Elec_5x5.4",89.784000,-60.736400,0.000000,top
"C7","104","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",106.497200,-79.837200,90.000000,top
"C8","104","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.267000,-120.396000,180.000000,top
"C9","10u/16V","CP_Elec_4x5.4",104.871600,-70.744000,-90.000000,top
"C10","100u/6.3V","CP_Elec_6.3x5.7",89.631600,-77.805200,0.000000,top
"C11","104","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.942000,-81.310400,-90.000000,top
"C12","104","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.267600,-59.888800,180.000000,top
"D1","SS34","D_SMA",89.631600,-54.792800,0.000000,top
"D2","BAT760-7","D_SOD-323F",98.318400,-55.012000,0.000000,top
"D3","LED","LED_0805_2012Metric",84.043600,-67.035600,-90.000000,top
"D4","LED","LED_0805_2012Metric",98.775600,-79.786400,90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",86.482000,-48.239600,0.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",104.648000,-48.133000,180.000000,top
"J3","Conn_01x10_Female","PinHeader_1x10_P2.54mm_Vertical",91.440000,-93.980000,0.000000,top
"J4","Conn_01x10_Female","PinHeader_1x10_P2.54mm_Vertical",104.140000,-93.980000,0.000000,top
"J7","Conn_01x02_Female","PinHeader_1x02_P2.54mm_Vertical",104.140000,-91.440000,180.000000,top
"J8","Conn_01x02_Female","PinHeader_1x02_P2.54mm_Vertical",91.440000,-88.900000,0.000000,top
"Q1","2N3904S-RTK/PS","SOT-23-3-REV",111.658400,-66.065400,-90.000000,top
"Q2","2N3904S-RTK/PS","SOT-23-3-REV",111.709200,-56.413400,90.000000,top
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.906400,-79.837200,90.000000,top
"R2","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",83.992800,-71.302800,90.000000,top
"R3","22K1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.267600,-62.378000,0.000000,top
"R4","47K5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.267600,-64.867200,180.000000,top
"R5","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.216800,-69.845600,0.000000,top
"R6","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.216800,-67.305600,180.000000,top
"R7","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.216800,-72.334800,0.000000,top
"R8","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.662800,-60.228400,0.000000,top
"R9","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.628000,-62.616000,0.000000,top
"R10","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.366400,-79.786400,90.000000,top
"SW1","BOOT","SW_Push_1P1T_NO_6x6mm_H9.5mm",97.901000,-111.887000,90.000000,top
"SW2","RESET","SW_Push_1P1T_NO_6x6mm_H9.5mm",97.901000,-94.967000,90.000000,top
"U1","USBLC6-2SC6","SOT-23-6",105.074800,-55.977200,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",89.631600,-68.712000,-90.000000,top
"U3","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",104.820800,-63.597200,-90.000000,top
"U4","ESP32-WROOM-32D","ESP32-WROOM-32",97.663000,-132.715000,180.000000,top
